"station","date","lat","lon","NO23","uni"
"21FLMANA_WQX-202","1996-02-21",27.6665361,-82.5590666,0.01,"mg/L"
"21FLMANA_WQX-362","1996-06-10",27.612975,-82.5776416,0.023,"mg/L"
"21FLMANA_WQX-396","1996-09-09",27.5910583,-82.6217555,0.013,"mg/L"
"21FLMANA_WQX-396","1996-01-17",27.5910583,-82.6217555,0.024,"mg/L"
"21FLMANA_WQX-405","1996-06-10",27.5526666,-82.5706666,0.025,"mg/L"
"21FLMANA_WQX-430","1996-03-20",27.5273305,-82.6095805,0.022,"mg/L"
"21FLMANA_WQX-365","1997-10-13",27.6124472,-82.60665,0.01,"mg/L"
"21FLMANA_WQX-362","1997-02-03",27.612975,-82.5776416,0.053,"mg/L"
"21FLMANA_WQX-400","1997-01-13",27.5725833,-82.6296444,0.038,"mg/L"
"21FLMANA_WQX-459","1997-12-17",27.5288277,-82.7036111,0.091,"mg/L"
"21FLMANA_WQX-361","1997-12-17",27.6285166,-82.5919333,0.097,"mg/L"
"21FLMANA_WQX-464","1997-10-29",27.4960361,-82.6954416,0.01,"mg/L"
"21FLMANA_WQX-455","1997-01-14",27.535,-82.7313333,0.032,"mg/L"
"21FLMANA_WQX-408","1997-12-15",27.5478333,-82.5991666,0.084,"mg/L"
"21FLMANA_WQX-455","1997-10-28",27.535,-82.7313333,0.01,"mg/L"
"21FLMANA_WQX-464","1997-01-14",27.4960361,-82.6954416,0.038,"mg/L"
"21FLMANA_WQX-365","1997-12-17",27.6124472,-82.60665,0.13,"mg/L"
"21FLMANA_WQX-430","1997-04-21",27.5273305,-82.6095805,0.019,"mg/L"
"21FLMANA_WQX-430","1997-01-13",27.5273305,-82.6095805,0.04,"mg/L"
"21FLMANA_WQX-396","1997-12-17",27.5910583,-82.6217555,0.144,"mg/L"
"21FLMANA_WQX-425","1997-10-28",27.5482722,-82.6607333,0.02,"mg/L"
"21FLMANA_WQX-452","1997-12-08",27.5412777,-82.7170555,0.021,"mg/L"
"21FLMANA_WQX-456","1997-10-13",27.5322916,-82.6884444,0.03,"mg/L"
"21FLMANA_WQX-425","1997-01-13",27.5482722,-82.6607333,0.086,"mg/L"
"21FLMANA_WQX-405","1997-01-13",27.5526666,-82.5706666,0.043,"mg/L"
"21FLMANA_WQX-395","1997-10-13",27.5508861,-82.5730722,0.02,"mg/L"
"21FLMANA_WQX-202","1997-12-08",27.6665361,-82.5590666,0.022,"mg/L"
"21FLMANA_WQX-459","1997-10-13",27.5288277,-82.7036111,0.03,"mg/L"
"21FLMANA_WQX-658","1997-12-17",27.4811166,-82.6992861,0.059,"mg/L"
"21FLMANA_WQX-362","1997-12-08",27.612975,-82.5776416,0.023,"mg/L"
